,listing_id,id,date,reviewer_id,reviewer_name,comments,key_words
16,14935734,104956642,9/29/2016,95421242,Almog,"Overall I had a very positive experience. The flat is quiet as advertised, and within walking distance to most of the things I needed. The only issue is that it's on the last storey in a building without a lift.","overall, positive, flat, last, storey"
17,14935734,105656077,10/2/2016,95876262,Stuart,Great location. Very close to Columbia university. Easy to find and safe location. ,"great, close, columbia, easy, safe"
18,14935734,106174235,10/4/2016,95036205,Emma,"John’s apartment is clean and neat. Both bathroom and bedroom were as shown as in pictures. I could sleep very peacefully at his place. John was a warming, courteous, and extremely helpful host. He helped me with next days' plan, and his suggestions were quite useful. Will definitely come back! ","clean, peacefully, place, courteous, extremely, helpful, next, quite, useful, definitely"
19,14935734,106187823,10/4/2016,91041657,Samantha,The host canceled this reservation the day before arrival. This is an automated posting.,
20,14935734,107173392,10/9/2016,53902054,Maria,"Stayed at Johns place for a weekend with my friend. John is a great host, very helpful and made us feel comfortable in his apartment. The apartment is very cozy and clean. It was a very nice stay. Also good subway connection nearby. Would recommend you to book it right away!","john, great, u, comfortable, cozy, clean, nice, also, good, nearby, right, away"
21,14935734,107481241,10/10/2016,13237638,Yemu,"John has been a fantastic host. He is super friendly, helpful and kind. He really made me feel at home.

My stay at John's place was a BLAST. The apartment totally exceeded my expectations. It was quiet, clean, cozy and located at a very safe neighborhood in Manhattan. Everything's within walking distance - Columbia University, grocery stores, beautiful parks, major subway stations and movie theaters. 

I would recommend John's place to EVERYONE coming to NYC, and I'd definitely come back and stay at his place again. ","fantastic, friendly, helpful, really, john, totally, exceeded, quiet, clean, safe, major, john, nyc, definitely, stay"
22,14935734,107801174,10/12/2016,8478095,David,"As advertised, clean and quiet, perfect for my needs, couldn't have been happier","advertised, clean, quiet, perfect"
23,14935734,108814536,10/17/2016,17420552,Luisa,"I spent a few days with my daughter. John was very helpful before and during my stay. He gave me direction to the apartment, suggestions for dining and transportation. The apartment is very cosy and clean and very conveniently located. I would strongly recommend it for a short stay in New York City.","spent, helpful, cosy, clean, conveniently, strongly, short, new"
24,14935734,109130166,10/19/2016,19096985,Jarvey,"John ??????,???????",
25,14935734,110475735,10/26/2016,8918622,Katalin,John was a very kind host. Everythig was as written in description and we were also respecting it. We loved the location in Harlem and the possibility to reach quickly the subway. We can highly reccommend to stay at John's place. ,"also, quickly, subway, highly, reccommend, john"
26,14935734,111540847,10/31/2016,94668418,Lian,"nice and tidy room.  convenience for transportation. 

John is on his business trip when we stay in his home.

His girlfriend greets us and everything arranges well.

price is responsible of the location in New York. 

Thanks","nice, well, responsible, new"
27,14935734,112766222,11/7/2016,32633539,Rafael,"John was the perfect host with a clean, quiet, friendly place uptown that boasts plenty of neighborhood charm to boot. Would recommend to anyone. ","clean, quiet, friendly, uptown"
28,14935734,125025899,1/3/2017,92021879,Tobias,John's place is great. He allowed us to check-in very late due to our late flight and helped us with the luggage. Most of the time we even had the place for ourself. It is close to the metro with which you are fast in lower Manhattan.,"john, great, u, late, due, late, u, even, close, fast"
29,15164526,104438566,9/26/2016,39076885,Don,"Very clean and comfortable. great food nearby, subway within 2 min walking.","clean, comfortable, great, nearby"
30,15164526,107153278,10/9/2016,96468056,Juanita,"Clean, recently renovated apartment close to subway station. However the host resides elsewhere whom we didn't meet. The 3 rooms are rented independently. Only one bathroom for up to 6 people so that when the shower is in use, the toilet is unavailable.","clean, recently, close, however, elsewhere, independently, use, unavailable"
31,15164526,110957292,10/29/2016,12625829,Sung Ho,This room is nice place for my vacation. Room is spacious and clean. ,"nice, spacious"
32,15164526,120928291,12/12/2016,81171834,Cameron,"A heads up - you probably won't meet Norma, face to face at least. You'll be dealing with her brother Luis, who at times can be a little difficult to get in touch with regarding issues in the apartment. However, to his benefit, he'll be on top of things when you do get a hold of him. Throughout the beginning, there were roaches and they had to send an exterminator out three times before the problem was gone. The rooms are nice, but be aware that there are two other rooms in this apartment that, at any given time, could have other occupants that are not Norma or Luis. If you like privacy, I can't recommend this listing. I think it's quite pricy for what it was, considering the floor layout, but I digress. There are times when Luis will stop by with his kids in tow, who can be quite loud, and he'll be doing things late at night. They were good about taking the trash out, and keeping the area clean. They were also good about checking in to see if everything's ok. The mattresses are comfortable and there is heating available. This room in particular faces a main street, so beware of noise.","probably, norma, luis, little, difficult, touch, however, top, nice, aware, norma, quite, pricy, digress, luis, quite, loud, late, good, trash, also, good, ok, comfortable, available, particular, main"
33,15164526,124999157,1/3/2017,104835384,Xiangting,"?????????????… ?????????,????????,????,????,????. ?????????,???...??????????,????,???????????,???????.... ????????????????. ??????????,??????????????????…?????????... ?? ???????????. ???????????,?????????????... ??????,?????????????????,?????... ??????????,???????,????. ?????! ??????...",?????????
34,7664262,47784269,9/21/2015,30715482,Earl,"The host met us upon arrival to familiarize us with the apartment, and made us feel very welcome.  The apartment is comfortable, clean and quiet.  The bedroom is spacious, with a very comfortable bed.  The sofa bed in the living room is also comfortable.  The building entrance, and the neighborhood are nice/feel very safe.  We were there for work, and found it easy to get to what we needed as far as public transportation, good local restaurants, groceries. ","u, arrival, u, u, welcome, comfortable, clean, quiet, spacious, comfortable, living, also, comfortable, safe, easy, far, public, good, local"
35,7664262,51299970,10/19/2015,43169273,Naisha,"Erin’s place is absolutely perfect!! Not only is she an awesome host, her place was perfect for our girls’ weekend trip. 
 
Location: Super easy walk to nearby places (High Line, Chelsea Market, dining, etc). We only had to take transportation when going uptown to UES/UWS. We walked everywhere and always happened to be super close to “home”.
 
Apartment Size: HUGE!!!! I’ve stayed in my fair share of NY hotels, and this apartment blows hotels to bits. Myself and two girlfriends stayed here (with all our luggage!) and never had any issues with space. The apartment is perfectly furnished with a super comfortable bed in the bedroom and an equally comfortable (really, it is friend approved) pull out sofa. The windows in the apartment are awesome, and we got to enjoy the fall weather with them open the entire weekend. Bathroom is tight, but you have so much room elsewhere to get ready, it worked perfectly for showering. 
 
Host: Erin was an absolute gem. She met us at the apartment with the keys, showed us how to use them and the door opener, and was on her way. She left us a great list of recommendations for the area. She was quick to respond when we had a question about the radiator. She also left us with little ""extras"" around the apartment (razor, lotion, mouthwash). The little touches made the biggest difference. 
 
Overall: I would HIGHLY recommend Erin’s apartment. I can’t wait to get back to NY and stay here again. ","absolutely, perfect, awesome, perfect, easy, nearby, high, uptown, everywhere, always, super, close, huge, fair, ny, blow, never, perfectly, comfortable, equally, comfortable, really, pull, awesome, enjoy, open, entire, much, elsewhere, ready, perfectly, absolute, u, u, u, great, quick, also, u, little, extra, little, overall, highly, back, ny"
36,10001286,85685542,7/12/2016,47148116,Marco,"Perfect location in down town Manhattan, cozy, clean, bright and very nice view apartment. The host Paul is a kind and generous guy, well prepared everything we need before we arrive. My family and I had a great time staying in Paul's apartment. I definitely will come back again. Thanks Paul~","perfect, clean, bright, nice, generous, well, arrive, great, paul, definitely"
37,10001286,87685789,7/21/2016,26596651,Michaela,"Best appartement ever. Amazing view, so many subway stations right in front of it, the neighbourhood is full with restaurants/take-outs and the Brooklyn Bridge is right around the corner. (So if you are struggling with Jetlag like we did, you can see amazing sunrises up there.)
Couldn't have find a better place. <3
Communication was very uncomplicated. ","ever, many, right, front, neighbourhood, full, right, amazing, better"
38,10001286,91827025,8/6/2016,67916593,Deedee,"Paul's apt was in great location within all basic need in walking distance, including multiple subway stations, restaurants, grocery, clothing stores, and 24hrs pharmacy. Paul was always very responsive, polite, and well prepared for enough sheets and all necessary amenities that were enough for settling. The apartment was bright, clean, and as described. Kitchen was neat. Kids enjoyed toys and books on his shelve. We had a comfortable and great time there.","apt, great, basic, multiple, always, responsive, well, prepared, enough, necessary, enough, settling, bright, clean, kitchen, neat, toy, comfortable, great"
39,10001286,99829146,9/6/2016,32476089,Roberta,"Quartiere molto interessante, a pochi passi da numerose attrazioni e dalle principali linee della metropolitana.
Appartamento molto piu'spazioso e luminoso rispetto alle foto.
Una vista fantastica sui grattacieli con tramonti meravigliosi
Dotato di tutti i comfort, cucina spaziosa ed attrezzata, molti giocattoli per bambini
Unico neo la mancanza della tv e migliorabile la pulizia all'arrivo
Paul molto gentile e disponibile consentendoci anche un comodo check out pomeridiano
Consigliamo sicuramente questo appartamento","quartiere, molto, numerose, attrazioni, una, grattacieli, unico, neo, della, un"
40,10001286,109120088,10/19/2016,974969,Rick,"Fantastic apartment in a great location.  Clean, roomy, and close to all of tha subway lines.  Paul was easy to communicate with and very flexible.  Perfect experience.","fantastic, great, clean, close, tha, easy, flexible, perfect"
41,10001286,111259539,10/30/2016,23536507,Sandra,Paul's apartment was perfect for us (family with 2 kids of 13 and 11 years old). The oldest slept in the livingroom on the sofabed. Paul's bedroom is quite spacious and he has a comfortable bed. His kitchen is large and well-equipped. The building is historical. The views (both the freedom tower and empire state building) are stunning. There is no tv and we haven't missed that. WiFi connection is good and there is a sonos system for music. Paul was very responsive to our questions. ,"perfect, u, old, paul, quite, spacious, comfortable, large, historical, wifi, good, responsive"
42,6993502,40415552,7/30/2015,37950084,Jeanette,"Yu is an amazing kind host!! Always very attentive to any of my needs and making sure I felt comfortable. It was a very easy stay! 
The location is great for anyone that wants to be in manhattan and have proximity to everything!
I would REALLY recommend staying here the size of the room is also perfect it is hard to find rooms this big in new york! 
Thank you Yu! it was great staying here keep in touch :) ","yu, always, attentive, sure, comfortable, easy, great, manhattan, really, also, perfect, hard, big, new, yu, great"
43,6993502,40549118,7/31/2015,37950084,Jeanette,"I loved staying here! The location is perfect since it is in the middle of manhattan really close to everything. The room is great big clean comfortable and nice bed. Yu was an amazing host a true gentlemen always very kind and attentive to my needs. There is a nice pub and dunking donuts downstairs, also a pret and juicery a block down. ","middle, really, close, great, big, comfortable, nice, true, always, attentive, nice, also"
44,6993502,40877880,8/2/2015,24377245,Ryan,"5 stars for the incredible location. Right outside Penn Station, walking distance to tons of interesting touristy stuff.
5 stars for his hospitality and helpfulness. Very nice host.
3 stars for accomodations. Didn't have guest towel or toiletries, no WiFi. Very clean place.
Overall a great experience. Would stay there again.","incredible, right, penn, touristy, nice, clean, overall, great"
45,6993502,41556592,8/7/2015,30912079,Jiayin,The location is great! It is close to everything! And the room is super clean! ,"great, close, super"
